city,city_development_index,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,relevent_experience_Has relevent experience,enrolled_university_Full time course,enrolled_university_no_enrollment,gender_Female,gender_Male,NEW1,NEW2
13,0.8270000000000001,0,5,2,0,5,1,3.367295829986474,0.0,1,0,1,0,1,0,0
67,0.855,2,5,5,1,3,1,3.828641396489095,0.0,1,0,1,0,1,10,10
11,0.55,0,5,0,8,3,0,2.4849066497880004,0.0,0,1,0,1,0,0,0
103,0.92,0,5,5,1,5,2,2.833213344056216,0.0,1,0,1,1,0,0,0
36,0.893,2,5,5,4,5,2,4.174387269895637,0.0,1,0,1,0,1,10,10
103,0.92,0,2,3,1,5,1,3.5553480614894135,0.0,0,0,1,0,1,0,0
67,0.855,0,5,9,3,5,3,2.6390573296152584,0.0,0,1,0,0,1,0,0
103,0.92,2,5,2,7,0,1,1.3862943611198906,0.0,1,0,1,1,0,10,4
103,0.92,0,5,15,4,5,5,2.4849066497880004,0.0,1,0,1,0,1,0,0
160,0.92,0,5,22,4,5,2,4.68213122712422,0.0,1,0,1,0,1,0,0
103,0.92,0,5,22,8,3,1,4.912654885736052,0.0,0,0,1,0,1,0,0
103,0.92,0,5,5,0,3,1,3.295836866004329,0.0,1,0,1,0,1,0,0
20,0.7959999999999999,2,5,4,4,1,1,4.30406509320417,0.0,1,0,0,1,0,10,8
71,0.884,0,5,15,0,0,1,4.454347296253507,0.0,1,0,1,0,1,0,0
57,0.866,0,5,0,0,5,2,4.418840607796598,0.0,0,0,0,1,0,0,0
103,0.92,1,4,4,8,3,3,4.31748811353631,0.0,0,1,0,1,0,4,4
152,0.698,2,5,11,8,4,2,3.7376696182833684,0.0,0,1,0,0,1,10,22
103,0.92,0,5,6,1,3,1,5.805134968916488,0.0,1,0,1,1,0,0,0
16,0.91,1,4,3,8,3,0,5.204006687076795,0.0,0,0,1,0,1,4,3
103,0.92,0,2,3,1,5,1,2.5649493574615367,1.0,0,0,1,1,0,0,0
19,0.682,0,5,5,0,5,2,5.147494476813453,1.0,1,0,1,1,0,0,0
103,0.92,0,5,10,1,2,1,3.871201010907891,0.0,1,0,1,1,0,0,0
65,0.802,0,5,9,4,5,1,3.4965075614664802,0.0,1,1,0,0,1,0,0
160,0.92,1,4,2,1,5,1,4.955827057601261,0.0,0,1,0,1,0,4,2
74,0.579,0,5,2,1,5,1,3.5263605246161616,0.0,0,1,0,1,0,0,0
65,0.802,0,5,6,4,5,2,2.6390573296152584,1.0,1,0,1,0,1,0,0
11,0.55,0,5,6,0,5,2,3.295836866004329,1.0,1,0,1,0,1,0,0
11,0.55,0,5,8,1,5,1,3.1780538303479458,1.0,1,0,1,0,1,0,0
173,0.878,2,5,22,8,3,1,5.0106352940962555,0.0,0,0,1,1,0,10,44
103,0.92,0,5,11,5,2,5,2.995732273553991,0.0,1,0,1,1,0,0,0
103,0.92,0,5,5,5,3,1,4.941642422609304,0.0,1,0,1,1,0,0,0
16,0.91,0,5,12,6,5,1,3.9512437185814275,0.0,1,0,1,0,1,0,0
75,0.939,0,5,22,4,5,2,5.075173815233827,0.0,1,0,1,0,1,0,0
136,0.897,2,5,9,6,5,2,1.0986122886681098,0.0,1,0,1,0,1,10,18
21,0.624,0,5,2,7,5,2,0.6931471805599453,1.0,1,0,1,0,1,0,0
16,0.91,0,5,22,2,5,5,3.332204510175204,0.0,1,0,1,0,1,0,0
73,0.754,0,4,22,8,3,4,3.828641396489095,0.0,1,0,1,0,1,0,0
67,0.855,0,5,8,4,5,1,5.3471075307174685,0.0,1,0,1,0,1,0,0
114,0.926,0,5,10,7,5,1,3.58351893845611,0.0,1,0,1,0,1,0,0
98,0.949,0,5,4,8,3,1,5.075173815233827,1.0,0,1,0,0,1,0,0
21,0.624,0,5,2,0,2,2,4.61512051684126,0.0,1,1,0,0,1,0,0
114,0.926,2,5,6,4,3,1,3.828641396489095,0.0,1,0,1,0,1,10,12
97,0.925,0,5,22,2,5,5,2.9444389791664403,0.0,1,0,1,0,1,0,0
21,0.624,0,5,3,1,5,2,3.258096538021482,1.0,1,0,1,0,1,0,0
90,0.698,0,5,7,7,2,1,4.499809670330265,0.0,1,1,0,1,0,0,0
50,0.8959999999999999,0,5,9,7,5,4,4.07753744390572,0.0,1,0,1,0,1,0,0
160,0.92,0,1,10,4,1,1,5.560681631015528,0.0,1,0,0,0,1,0,0
21,0.624,0,5,11,4,5,5,4.30406509320417,0.0,1,0,1,1,0,0,0
16,0.91,3,5,22,1,5,2,2.995732273553991,1.0,1,0,1,0,1,15,66
173,0.878,0,5,12,1,5,2,2.0794415416798357,0.0,1,0,1,0,1,0,0
103,0.92,0,5,6,1,5,1,4.875197323201151,0.0,1,0,1,0,1,0,0
138,0.836,2,5,7,8,3,1,3.8066624897703196,0.0,1,1,0,0,1,10,14
82,0.693,0,5,11,0,5,2,4.6913478822291435,0.0,1,1,0,0,1,0,0
67,0.855,0,2,3,1,5,1,4.248495242049359,0.0,1,0,1,0,1,0,0
103,0.92,0,5,22,1,2,5,2.833213344056216,0.0,1,0,1,1,0,0,0
103,0.92,2,5,15,4,5,1,3.9318256327243257,0.0,0,0,1,1,0,10,30
103,0.92,0,5,6,4,5,3,4.0943445622221,1.0,1,0,1,1,0,0,0
36,0.893,3,5,22,2,4,5,1.3862943611198906,0.0,0,0,1,1,0,15,66
114,0.926,0,5,12,1,5,5,1.9459101490553132,0.0,0,0,1,0,1,0,0
102,0.804,2,5,22,1,5,3,5.099866427824199,0.0,1,0,1,1,0,10,44
64,0.6659999999999999,0,5,20,8,3,4,5.66988092298052,0.0,1,0,1,0,1,0,0
102,0.804,1,4,2,7,2,0,4.976733742420574,0.0,0,0,1,0,1,4,2
103,0.92,2,2,3,3,5,1,4.890349128221754,1.0,0,0,1,0,1,4,6
11,0.55,0,5,2,8,3,1,2.995732273553991,0.0,0,1,0,1,0,0,0
103,0.92,0,5,10,7,1,1,4.330733340286331,0.0,1,0,1,0,1,0,0
90,0.698,2,5,5,8,3,4,3.044522437723423,1.0,0,1,0,1,0,10,10
21,0.624,0,4,8,6,5,2,3.5263605246161616,0.0,1,0,1,1,0,0,0
160,0.92,0,5,9,7,5,2,2.70805020110221,0.0,0,0,1,0,1,0,0
57,0.866,0,5,22,8,3,5,5.049856007249537,0.0,0,0,1,0,1,0,0
103,0.92,0,5,22,6,5,5,2.70805020110221,0.0,1,0,1,0,1,0,0
114,0.926,2,5,22,8,3,0,4.787491742782046,0.0,1,0,1,1,0,10,44
157,0.769,0,3,14,3,3,5,3.8501476017100584,0.0,1,0,1,1,0,0,0
73,0.754,0,5,12,8,3,2,4.605170185988092,1.0,1,0,1,0,1,0,0
67,0.855,0,5,6,5,5,0,4.624972813284271,0.0,1,0,0,0,1,0,0
103,0.92,1,4,4,8,3,0,3.9512437185814275,0.0,0,0,1,0,1,4,4
114,0.926,1,4,9,0,3,4,3.6635616461296463,0.0,1,0,1,1,0,4,9
103,0.92,1,4,4,8,3,1,4.718498871295094,1.0,1,1,0,0,1,4,4
103,0.92,3,5,22,4,5,5,2.6390573296152584,0.0,0,0,1,0,1,15,66
16,0.91,2,0,22,2,2,5,4.007333185232471,0.0,1,0,1,1,0,0,44
21,0.624,0,5,6,3,5,4,3.8918202981106265,1.0,1,0,1,0,1,0,0
16,0.91,0,5,15,8,3,5,4.276666119016055,0.0,1,0,1,0,1,0,0
89,0.925,0,5,14,6,5,3,4.948759890378168,1.0,1,1,0,0,1,0,0
114,0.926,1,4,6,8,5,0,3.332204510175204,0.0,0,0,1,0,1,4,6
103,0.92,0,5,13,3,5,1,1.791759469228055,0.0,1,0,1,0,1,0,0
103,0.92,0,3,17,6,5,1,4.8283137373023015,0.0,1,0,1,0,1,0,0
75,0.939,0,5,22,8,3,0,5.786897381366708,0.0,1,0,1,1,0,0,0
103,0.92,0,4,22,1,5,2,3.4965075614664802,0.0,1,0,1,0,1,0,0
102,0.804,2,5,6,3,5,5,3.6888794541139363,0.0,0,0,1,1,0,10,12
160,0.92,0,5,18,8,3,1,5.288267030694535,1.0,1,0,1,1,0,0,0
103,0.92,2,5,15,3,5,5,4.007333185232471,0.0,1,0,1,1,0,10,30
150,0.698,0,5,22,5,5,5,3.4657359027997265,0.0,0,0,1,0,1,0,0
103,0.92,0,0,22,1,5,5,2.3978952727983707,0.0,1,0,1,0,1,0,0
73,0.754,0,5,22,7,5,1,3.713572066704308,0.0,1,0,1,0,1,0,0
103,0.92,2,5,22,3,4,5,4.465908118654584,1.0,1,0,1,0,1,10,44
67,0.855,2,5,10,1,5,4,4.736198448394496,0.0,1,0,1,0,1,10,20
90,0.698,2,5,5,7,0,1,2.70805020110221,0.0,1,0,0,0,1,10,10
16,0.91,1,4,3,8,3,1,2.0794415416798357,0.0,0,1,0,1,0,4,3
173,0.878,1,4,2,1,2,1,3.091042453358316,0.0,1,0,0,1,0,4,2
103,0.92,2,5,22,6,5,4,2.5649493574615367,0.0,1,0,1,0,1,10,44
98,0.949,0,5,22,7,4,1,5.5053315359323625,0.0,1,0,1,0,1,0,0
103,0.92,2,5,9,0,5,1,3.091042453358316,0.0,1,0,1,0,1,10,18
103,0.92,2,5,22,7,1,1,4.394449154672439,0.0,1,0,1,0,1,10,44
175,0.7759999999999999,0,5,4,0,1,1,2.3978952727983707,0.0,1,1,0,1,0,0,0
103,0.92,0,5,22,1,1,1,3.912023005428146,0.0,1,0,1,0,1,0,0
104,0.924,1,4,6,8,3,0,2.70805020110221,0.0,0,1,0,0,1,4,6
28,0.939,2,5,22,0,5,5,3.4339872044851463,0.0,1,0,1,0,1,10,44
114,0.926,2,5,22,4,5,0,4.430816798843313,0.0,1,0,1,0,1,10,44
136,0.897,0,5,4,3,5,1,3.7376696182833684,0.0,1,0,0,0,1,0,0
21,0.624,0,5,10,0,5,5,4.653960350157523,1.0,1,0,1,1,0,0,0
103,0.92,0,5,22,4,5,5,4.276666119016055,0.0,1,0,1,1,0,0,0
115,0.789,0,5,14,0,5,5,3.7376696182833684,1.0,1,0,1,0,1,0,0
94,0.698,0,5,15,4,0,1,5.0238805208462765,0.0,1,0,1,0,1,0,0
103,0.92,0,5,12,3,5,1,4.0943445622221,0.0,1,0,1,0,1,0,0
21,0.624,2,5,2,8,3,0,2.0794415416798357,0.0,0,1,0,0,1,10,4
16,0.91,2,5,13,8,3,3,2.833213344056216,1.0,0,1,0,0,1,10,26
83,0.923,1,4,1,8,3,1,3.4965075614664802,0.0,0,0,1,0,1,4,1
16,0.91,2,5,4,1,1,0,3.6375861597263857,0.0,1,0,1,0,1,10,8
103,0.92,0,2,14,7,0,2,5.181783550292085,0.0,1,0,1,0,1,0,0
160,0.92,0,5,15,4,5,1,2.3978952727983707,0.0,1,0,1,0,1,0,0
36,0.893,1,4,22,8,3,0,4.465908118654584,0.0,1,0,1,0,1,4,22
65,0.802,0,5,13,8,3,0,4.430816798843313,0.0,1,0,1,0,1,0,0
71,0.884,0,5,22,1,0,2,3.4657359027997265,0.0,1,0,1,0,1,0,0
100,0.887,2,5,9,1,5,1,3.4339872044851463,1.0,1,0,1,1,0,10,18
21,0.624,0,5,2,5,4,1,3.6635616461296463,0.0,0,0,1,0,1,0,0
59,0.775,0,5,7,0,5,1,2.4849066497880004,0.0,1,0,1,1,0,0,0
21,0.624,0,5,5,3,5,1,3.912023005428146,0.0,1,1,0,1,0,0,0
165,0.903,0,5,3,1,5,1,4.007333185232471,1.0,1,0,1,0,1,0,0
103,0.92,2,2,2,4,0,1,4.6443908991413725,0.0,1,0,1,0,1,4,4
160,0.92,0,1,22,8,3,5,4.499809670330265,1.0,1,1,0,1,0,0,0
103,0.92,2,4,22,1,5,5,2.0794415416798357,0.0,1,0,1,0,1,8,44
21,0.624,0,5,2,8,3,0,4.624972813284271,0.0,0,1,0,0,1,0,0
21,0.624,2,5,0,0,5,1,5.308267697401205,1.0,1,0,1,1,0,10,0
145,0.555,0,5,4,1,5,1,3.091042453358316,0.0,1,0,1,1,0,0,0
21,0.624,0,5,3,8,5,0,3.7376696182833684,0.0,0,1,0,0,1,0,0
160,0.92,4,4,4,8,5,0,3.912023005428146,0.0,0,0,1,1,0,16,16
21,0.624,2,5,3,4,1,1,4.477336814478207,0.0,1,0,1,0,1,10,6
73,0.754,0,5,5,2,5,4,4.394449154672439,0.0,1,0,1,1,0,0,0
103,0.92,2,5,22,3,5,1,1.9459101490553132,0.0,1,0,1,0,1,10,44
16,0.91,0,5,22,3,5,5,4.127134385045092,0.0,1,0,1,0,1,0,0
103,0.92,0,5,6,4,5,1,4.418840607796598,0.0,1,0,1,0,1,0,0
28,0.939,0,5,9,2,5,5,2.3978952727983707,0.0,1,0,1,0,1,0,0
114,0.926,3,5,22,4,3,5,2.302585092994046,0.0,0,0,0,0,1,15,66
28,0.939,2,5,10,2,5,1,4.736198448394496,0.0,1,0,1,0,1,10,20
21,0.624,2,5,3,4,5,1,3.58351893845611,0.0,1,0,1,1,0,10,6
16,0.91,0,5,2,8,3,0,4.382026634673881,1.0,0,1,0,0,1,0,0
160,0.92,0,5,22,4,4,5,4.68213122712422,0.0,1,0,0,0,1,0,0
103,0.92,0,5,2,1,5,2,3.8066624897703196,0.0,1,0,1,0,1,0,0
103,0.92,0,5,5,8,3,0,4.343805421853684,0.0,0,1,0,0,1,0,0
114,0.926,2,5,15,1,5,2,2.0794415416798357,0.0,1,0,1,0,1,10,30
173,0.878,0,5,5,8,3,1,3.332204510175204,0.0,0,0,1,1,0,0,0
142,0.727,0,5,9,1,1,5,3.6109179126442243,0.0,1,0,1,1,0,0,0
16,0.91,0,5,2,8,3,2,4.68213122712422,1.0,0,1,0,1,0,0,0
103,0.92,0,5,13,5,5,2,5.087596335232384,0.0,1,0,1,0,1,0,0
73,0.754,1,4,9,8,3,5,3.713572066704308,0.0,1,1,0,1,0,4,9
165,0.903,2,5,19,1,5,4,1.3862943611198906,0.0,1,0,1,0,1,10,38
71,0.884,3,5,3,2,4,1,3.713572066704308,0.0,0,0,1,1,0,15,9
165,0.903,0,5,17,3,5,2,2.4849066497880004,0.0,1,0,1,1,0,0,0
103,0.92,0,5,22,4,5,1,5.247024072160486,0.0,1,0,1,0,1,0,0
21,0.624,0,5,7,4,5,5,3.367295829986474,1.0,1,0,1,1,0,0,0
103,0.92,0,5,6,1,4,1,2.3978952727983707,0.0,1,0,1,0,1,0,0
103,0.92,1,4,3,3,5,1,3.4011973816621555,0.0,0,1,0,0,1,4,3
103,0.92,2,5,13,1,3,5,3.6635616461296463,0.0,1,0,1,0,1,10,26
102,0.804,1,4,9,8,3,1,2.772588722239781,0.0,1,1,0,0,1,4,9
114,0.926,0,5,22,4,5,5,1.6094379124341003,0.0,0,0,1,0,1,0,0
26,0.698,1,4,8,8,3,0,3.6635616461296463,0.0,0,1,0,0,1,4,8
114,0.926,2,5,10,4,5,5,3.367295829986474,0.0,1,0,1,0,1,10,20
21,0.624,2,5,4,4,2,2,5.3471075307174685,0.0,1,1,0,1,0,10,8
103,0.92,1,4,6,4,1,1,3.9889840465642745,0.0,0,0,0,0,0,4,6
160,0.92,0,5,9,4,5,3,3.784189633918261,0.0,1,0,1,0,1,0,0
16,0.91,0,5,15,8,3,5,3.8501476017100584,0.0,1,0,1,0,1,0,0
103,0.92,0,5,22,2,2,5,4.30406509320417,0.0,1,0,1,0,1,0,0
21,0.624,2,5,6,0,5,1,2.0794415416798357,1.0,1,0,1,0,1,10,12
21,0.624,0,5,7,8,3,0,2.995732273553991,1.0,0,1,0,1,0,0,0
103,0.92,0,5,3,5,5,1,5.087596335232384,0.0,1,0,1,0,1,0,0
36,0.893,0,1,2,4,5,1,4.700480365792417,0.0,0,0,1,1,0,0,0
46,0.762,1,4,3,0,5,1,5.568344503761097,0.0,1,0,0,0,0,4,3
138,0.836,2,5,14,8,3,1,1.791759469228055,0.0,1,0,1,0,1,10,28
64,0.6659999999999999,0,5,9,0,5,1,2.9444389791664403,1.0,1,0,0,0,1,0,0
64,0.6659999999999999,0,5,22,4,5,5,3.1354942159291497,1.0,0,0,1,0,0,0,0
136,0.897,2,5,15,3,3,5,4.897839799950911,0.0,1,0,1,0,1,10,30
114,0.926,2,5,11,0,0,1,3.6888794541139363,0.0,1,0,1,0,1,10,22
71,0.884,0,5,12,4,5,1,2.3978952727983707,0.0,1,0,1,0,1,0,0
160,0.92,0,5,11,8,3,3,4.624972813284271,0.0,1,0,1,0,1,0,0
21,0.624,0,5,2,8,3,0,4.605170185988092,0.0,0,1,0,0,1,0,0
83,0.923,2,5,3,3,5,0,3.4011973816621555,0.0,0,0,1,0,1,10,6
103,0.92,1,4,5,8,3,1,2.995732273553991,1.0,0,0,1,1,0,4,5
103,0.92,0,5,14,2,5,3,1.3862943611198906,0.0,1,0,1,1,0,0,0
16,0.91,4,4,5,8,3,0,2.70805020110221,0.0,0,0,1,1,0,16,20
21,0.624,0,5,0,8,3,1,2.6390573296152584,1.0,0,0,1,0,1,0,0
83,0.923,4,4,1,8,5,0,4.634728988229636,0.0,0,0,1,0,1,16,4
160,0.92,0,5,5,2,4,2,3.6888794541139363,0.0,1,0,0,0,1,0,0
16,0.91,3,5,22,1,5,2,3.295836866004329,0.0,1,0,1,0,1,15,66
114,0.926,1,4,10,1,5,5,3.828641396489095,0.0,0,0,1,0,1,4,10
114,0.926,1,4,7,4,5,5,4.700480365792417,0.0,1,0,1,0,1,4,7
103,0.92,0,5,13,4,1,1,4.564348191467836,0.0,1,0,1,0,1,0,0
103,0.92,0,5,5,3,5,2,4.04305126783455,0.0,1,0,1,1,0,0,0
160,0.92,0,5,6,8,3,1,5.480638923341991,0.0,1,1,0,0,1,0,0
98,0.949,0,5,4,4,1,4,3.7376696182833684,0.0,1,0,1,0,1,0,0
75,0.939,2,5,7,8,3,1,2.772588722239781,1.0,1,0,1,0,1,10,14
12,0.64,0,5,22,4,5,0,3.6888794541139363,1.0,1,0,1,0,1,0,0
103,0.92,0,5,5,1,1,2,4.543294782270004,0.0,1,0,1,0,1,0,0
37,0.794,0,5,9,6,5,1,5.075173815233827,0.0,0,0,1,1,0,0,0
173,0.878,0,5,10,0,0,1,3.2188758248682006,0.0,0,0,0,0,1,0,0
43,0.516,0,5,9,7,0,1,2.3978952727983707,0.0,1,0,1,0,1,0,0
173,0.878,1,4,0,1,5,1,3.367295829986474,0.0,1,0,1,1,0,4,0
90,0.698,0,5,8,8,3,1,3.1354942159291497,0.0,1,0,1,0,1,0,0
142,0.727,0,5,10,0,5,2,4.727387818712341,0.0,1,0,1,0,1,0,0
73,0.754,0,5,15,8,3,2,4.02535169073515,0.0,1,0,1,1,0,0,0
104,0.924,0,5,2,8,3,1,3.6635616461296463,1.0,0,1,0,0,1,0,0
103,0.92,0,5,2,2,5,1,2.995732273553991,0.0,0,0,1,1,0,0,0
160,0.92,0,5,22,3,5,1,3.6888794541139363,0.0,1,1,0,0,1,0,0
103,0.92,2,5,22,7,5,5,4.02535169073515,0.0,1,0,1,0,1,10,44
145,0.555,0,5,4,8,3,1,4.663439094112067,0.0,0,1,0,1,0,0,0
114,0.926,0,5,19,5,5,2,4.1588830833596715,0.0,1,0,0,0,1,0,0
73,0.754,0,5,5,3,5,1,3.9318256327243257,0.0,1,0,1,0,1,0,0
67,0.855,0,5,6,2,5,2,3.713572066704308,0.0,1,1,0,1,0,0,0
103,0.92,0,5,20,1,5,5,5.0106352940962555,0.0,1,0,1,1,0,0,0
74,0.579,0,5,4,0,5,1,5.768320995793772,0.0,1,0,1,0,1,0,0
136,0.897,2,5,7,8,3,0,2.995732273553991,0.0,1,0,1,0,1,10,14
102,0.804,0,5,9,6,5,1,4.30406509320417,0.0,1,1,0,0,1,0,0
21,0.624,2,5,3,8,4,1,4.859812404361672,1.0,1,0,1,0,1,10,6
67,0.855,2,5,10,8,3,1,3.7376696182833684,0.0,1,0,1,1,0,10,20
61,0.913,1,4,2,1,5,0,4.060443010546419,0.0,0,0,1,1,0,4,2
103,0.92,1,4,3,8,3,1,4.836281906951478,1.0,0,1,0,0,1,4,3
103,0.92,1,4,4,8,3,1,3.8066624897703196,1.0,0,0,1,1,0,4,4
83,0.923,0,5,22,0,5,5,5.111987788356544,0.0,1,0,1,0,1,0,0
61,0.913,0,5,2,4,5,1,4.700480365792417,0.0,1,0,1,0,1,0,0
103,0.92,0,5,22,8,3,1,3.6109179126442243,0.0,1,1,0,0,1,0,0
102,0.804,0,5,2,8,3,1,4.553876891600541,1.0,1,0,0,1,0,0,0
103,0.92,0,5,22,8,3,5,3.367295829986474,1.0,1,0,1,0,1,0,0
114,0.926,2,5,22,4,5,5,3.4339872044851463,0.0,1,0,1,0,1,10,44
116,0.743,2,5,11,4,5,5,4.574710978503383,0.0,0,1,0,0,1,10,22
114,0.926,4,4,3,8,3,0,2.772588722239781,0.0,0,0,1,0,1,16,12
103,0.92,4,4,4,8,3,0,2.6390573296152584,0.0,0,0,1,0,1,16,16
102,0.804,3,5,22,1,5,5,5.327876168789581,0.0,1,0,1,0,1,15,66
103,0.92,0,5,2,0,1,1,5.318119993844216,0.0,1,0,1,1,0,0,0
103,0.92,2,5,18,3,5,2,4.7535901911063645,0.0,1,0,1,0,1,10,36
102,0.804,2,5,16,1,5,4,5.081404364984463,0.0,1,0,1,1,0,10,32
160,0.92,0,5,22,8,3,5,3.2188758248682006,1.0,1,0,1,0,1,0,0
103,0.92,0,5,18,5,5,5,4.543294782270004,0.0,1,0,1,1,0,0,0
103,0.92,0,5,15,3,5,5,2.772588722239781,0.0,1,0,1,1,0,0,0
90,0.698,2,5,15,8,3,1,4.605170185988092,0.0,1,1,0,0,1,10,30
103,0.92,0,5,20,3,5,0,4.672828834461906,0.0,1,0,1,0,1,0,0
